Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1128,6.8nF,C_0603_1608Metric,43.686297,99.505355,0.0,top
C1129,8.2nF,C_0603_1608Metric,55.725897,99.505355,0.0,top
C1130,10nF,C_0603_1608Metric,67.765497,99.505355,0.0,top
C1131,15nF,C_0603_1608Metric,79.805097,99.505355,0.0,top
C1132,22nF,C_0603_1608Metric,91.895497,99.505355,0.0,top
C1133,33nF,C_0603_1608Metric,19.530897,90.488355,0.0,top
C1134,47nF,C_0603_1608Metric,31.595897,90.492355,0.0,top
C1135,68nF,C_0603_1608Metric,43.660897,90.492355,0.0,top
C1136,100nF,C_0603_1608Metric,55.725897,90.492355,0.0,top
C1137,220nF,C_0603_1608Metric,67.663897,90.492355,0.0,top
C1138,330nF,C_0603_1608Metric,79.829897,90.488355,0.0,top
C1139,470nF,C_0603_1608Metric,91.793897,90.488355,0.0,top
C1140,1uF,C_0603_1608Metric,19.504897,81.395155,0.0,top
C1141,2.2uF,C_0603_1608Metric,31.582897,81.395155,0.0,top
C1142,4.7uF,C_0603_1608Metric,43.660897,81.395155,0.0,top
C1143,10uF,C_0603_1608Metric,55.725897,81.395155,0.0,top
C1144,10uF,C_0603_1608Metric,67.790897,81.395155,0.0,top
C1145,22uF,C_0603_1608Metric,79.855897,81.395155,0.0,top
C1146,1nF,C_0603_1608Metric,59.027897,114.530555,0.0,top
C1147,1.5nF,C_0603_1608Metric,71.144297,114.530555,0.0,top
C1148,2.2nF,C_0603_1608Metric,83.310297,114.530555,0.0,top
C1149,2.7nF,C_0603_1608Metric,95.451497,114.530555,0.0,top
C1150,3.3nF,C_0603_1608Metric,22.540497,105.398155,0.0,top
C1151,4.7nF,C_0603_1608Metric,34.593097,105.398155,0.0,top
C1152,6.8nF,C_0603_1608Metric,46.683497,105.398155,0.0,top
C1153,8.2nF,C_0603_1608Metric,58.723097,105.398155,0.0,top
C1154,10nF,C_0603_1608Metric,70.762697,105.398155,0.0,top
C1155,15nF,C_0603_1608Metric,82.802297,105.398155,0.0,top
C1156,22nF,C_0603_1608Metric,94.892697,105.398155,0.0,top
C1157,33nF,C_0603_1608Metric,22.528097,96.381155,0.0,top
C1158,47nF,C_0603_1608Metric,34.593097,96.381155,0.0,top
C1159,68nF,C_0603_1608Metric,46.658097,96.381155,0.0,top
C1160,100nF,C_0603_1608Metric,58.723097,96.381155,0.0,top
C1161,220nF,C_0603_1608Metric,70.661097,96.381155,0.0,top
C1162,330nF,C_0603_1608Metric,82.827097,96.381155,0.0,top
C1163,470nF,C_0603_1608Metric,94.791097,96.381155,0.0,top
C1164,1uF,C_0603_1608Metric,22.502097,87.287955,0.0,top
C1165,2.2uF,C_0603_1608Metric,34.580097,87.287955,0.0,top
C1166,4.7uF,C_0603_1608Metric,46.658097,87.287955,0.0,top
C1167,10uF,C_0603_1608Metric,58.723097,87.287955,0.0,top
C1168,10uF,C_0603_1608Metric,70.788097,87.287955,0.0,top
C1169,22uF,C_0603_1608Metric,82.853097,87.287955,0.0,top
